,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb,link
471,The Strangers,Bryan Bertino,2008,16,4.5,No,6.2,https://wheresthejump.com/jump-scares-in-the-strangers-2008/
472,The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.5,https://wheresthejump.com/jump-scares-in-the-strangers-prey-at-night-2018/
473,The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No,6.0,https://wheresthejump.com/jump-scares-in-the-taking-of-deborah-logan-2014/
474,The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1.0,No,7.5,https://wheresthejump.com/jump-scares-in-the-texas-chain-saw-massacre-1974/
475,The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3.0,No,6.2,https://wheresthejump.com/jump-scares-in-the-texas-chainsaw-massacre-2003/
476,The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes,5.9,https://wheresthejump.com/jump-scares-in-the-texas-chainsaw-massacre-the-beginning-2006/
477,The Thing,John Carpenter,1982,7,2.0,No,8.2,https://wheresthejump.com/jump-scares-in-the-thing-1982/
478,The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No,6.2,https://wheresthejump.com/jump-scares-in-the-thing-2011/
479,The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-the-town-that-dreaded-sundown-2014/
480,The Transfiguration,Michael O’Shea,2016,2,1.0,No,5.9,https://wheresthejump.com/jump-scares-in-the-transfiguration-2016/
481,The Tunnel,Carlo Ledesma,2011,6,2.5,No,5.9,https://wheresthejump.com/jump-scares-in-the-tunnel-2011/
482,The Unborn,David S. Goyer,2009,14,3.5,Yes,4.8,https://wheresthejump.com/jump-scares-in-the-unborn-2009/
483,The Uninvited,Charles & Thomas Guard,2009,11,3.0,Yes,6.4,https://wheresthejump.com/jump-scares-in-the-uninvited-2009/
484,The Veil,Phil Joanou,2016,12,3.0,Yes,4.7,https://wheresthejump.com/jump-scares-in-the-veil-2016/
485,The Village,M. Night Shyamalan,2004,4,1.0,No,6.5,https://wheresthejump.com/jump-scares-in-the-village-2004/
486,The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2,https://wheresthejump.com/jump-scares-in-the-visit-2015/
487,The Voices,Marjane Satrapi,2014,3,0.5,No,6.3,https://wheresthejump.com/jump-scares-in-the-voices-2014/
488,The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2.0,Yes,5.8,https://wheresthejump.com/jump-scares-in-the-void-2016/
489,The Wailing,Na Hong-jin,2016,4,1.0,Yes,7.5,https://wheresthejump.com/jump-scares-in-the-wailing-2016/
490,The Ward,John Carpenter,2010,15,4.0,No,5.6,https://wheresthejump.com/jump-scares-in-the-ward-2010/
491,The Wicker Man,Robin Hardy,1973,4,0.5,No,7.6,https://wheresthejump.com/jump-scares-in-the-wicker-man-1973/
492,The Witch,Robert Eggers,2015,4,1.5,Yes,6.8,https://wheresthejump.com/jump-scares-in-the-witch-2015/
493,The Wolfman,Joe Johnston,2010,18,4.0,No,5.8,https://wheresthejump.com/jump-scares-in-the-wolfman-2010/
494,The Woman in Black,James Watkins,2012,16,4.0,No,6.5,https://wheresthejump.com/jump-scares-in-the-woman-in-black-2012/
495,The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4.0,No,4.9,https://wheresthejump.com/jump-scares-in-the-woman-in-black-ii-angel-of-death-2014/
496,Them (Ils),"David Moreau, Xavier Palud",2006,16,4.0,No,6.5,https://wheresthejump.com/jump-scares-in-them-2006/
497,Thesis (Tesis),Alejandro Amenábar,1996,3,0.5,No,7.5,https://wheresthejump.com/jump-scares-in-thesis-1996/
498,They Look Like People,Perry Blackshear,2015,2,0.5,No,6.1,https://wheresthejump.com/jump-scares-in-they-look-like-people-2015/
499,Thirteen Ghosts,Steve Beck,2001,17,3.0,No,5.5,https://wheresthejump.com/jump-scares-in-thirteen-ghosts-2001/
500,Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2,https://wheresthejump.com/jump-scares-in-timecrimes-2007/
501,Tragedy Girls,Tyler Macintyre,2017,8,2.0,No,6.1,https://wheresthejump.com/jump-scares-in-tragedy-girls-2017/
502,Train to Busan,Sang-ho Yeon,2016,4,1.0,Yes,7.5,https://wheresthejump.com/jump-scares-in-train-to-busan-2016/
503,Trash Fire,Richard Bates Jr.,2016,0,0.0,Yes,5.8,https://wheresthejump.com/jump-scares-in-trash-fire-2016/
504,Tremors,Ron Underwood,1990,16,2.5,No,7.1,https://wheresthejump.com/jump-scares-in-tremors-1990/
505,Triangle,Christopher Smith,2009,5,1.0,No,6.9,https://wheresthejump.com/jump-scares-in-triangle-2009/
506,Trick 'r Treat,Michael Dougherty,2007,6,2.5,No,6.8,https://wheresthejump.com/jump-scares-in-trick-r-treat-2007
507,Truth or Dare,Jeff Wadlow,2018,7,2.0,No,4.8,https://wheresthejump.com/jump-scares-in-truth-or-dare-2018/
508,Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No,7.6,https://wheresthejump.com/jump-scares-in-tucker-and-dale-vs-evil-2010/
509,Tusk,Kevin Smith,2014,0,0.0,Yes,5.4,https://wheresthejump.com/jump-scares-in-tusk-2014/
510,Under the Shadow,Babak Anvari,2016,9,3.5,Yes,7.0,https://wheresthejump.com/jump-scares-in-under-the-shadow-2016/
511,Unfriended,Leo Gabriadze,2014,5,3.0,No,5.8,https://wheresthejump.com/jump-scares-in-unfriended-2014/
512,Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.5,https://wheresthejump.com/jump-scares-in-unfriended-dark-web-2018/
513,Unsane,Steven Soderbergh,2018,2,0.5,No,6.7,https://wheresthejump.com/jump-scares-in-unsane-2018/
514,Urban Legend,Jamie Blanks,1998,17,4.0,No,5.5,https://wheresthejump.com/jump-scares-in-urban-legend-1998/
