,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
92,Deep Blue Sea,Renny Harlin,1999,10,2.5,No,5.8
93,Deep Red,Dario Argento,1975,7,1.5,No,7.7
94,Deliver Us From Evil,Scott Derrickson,2014,16,4.0,No,6.2
95,Dementia,Mike Testin,2015,0,0.0,No,5.0
96,Demonic,Will Canon,2015,17,4.0,Yes,5.3
97,Devil,John Erick Dowdle,2010,4,1.5,No,6.3
98,Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3.0,No,4.1
99,Devil's Pass,Renny Harlin,2013,10,2.5,No,5.7
100,Dismissed,Benjamin Arfmann,2017,0,0.0,No,5.8
101,Disturbia,D.J. Caruso,2007,13,3.0,No,6.9
102,Dog Soldiers,Neil Marshall,2002,13,3.0,No,6.8
103,Donnie Darko,Richard Kelly,2001,3,1.0,No,8.1
104,Don't Be Afraid of the Dark,Troy Nixey,2010,8,3.0,No,5.6
105,Don't Breathe,Fede Alvarez,2016,17,3.5,No,7.2
106,Don't Knock Twice,Caradog W. James,2016,19,3.5,No,5.2
107,Doom,Andrzej Bartkowiak,2005,15,3.5,Yes,5.2
108,Dracula Untold,Gary Shore,2014,4,1.0,No,6.3
109,Drag Me To Hell,Sam Raimi,2009,23,4.5,No,6.6
110,Dreamcatcher,Lawrence Kasdan,2003,11,3.0,No,5.5
111,Eden Lake,James Watkins,2008,3,1.0,No,6.8
112,Elle,Paul Verhoeven,2016,7,2.0,No,7.3
113,Emelie,Michael Thelin,2015,3,0.5,Yes,5.4
114,Escape Room,Adam Robitel,2019,4,1.5,No,6.3
115,Europa Report,Sebastián Cordero,2013,1,0.5,No,6.5
116,Event Horizon,Paul W.S. Anderson,1997,11,3.0,No,6.7
117,Evil Dead,Fede Alvarez,2013,20,4.0,No,6.5
118,Evil Dead II,Sam Raimi,1987,27,4.0,No,7.8
119,Exorcist: The Beginning,Renny Harlin,2004,17,4.0,No,5.1
120,Extinction,Miguel Ángel Vivas,2015,12,3.0,No,5.8
121,Extraterrestrial,Colin Minihan,2014,30,4.5,No,5.0
122,Fear Clinic,Robert Hall,2014,13,3.0,No,5.6
123,Final Destination,James Wong,2000,4,2.0,Yes,6.7
124,Final Destination 2,David R. Ellis,2003,3,1.0,Yes,6.2
125,Final Destination 3,James Wong,2006,5,1.0,Yes,5.8
126,Final Destination 5,Steven Quale,2011,5,1.5,No,5.9
127,Flatliners,Joel Schumacher,1990,7,2.0,Yes,6.6
128,Flatliners,Niels Arden Oplev,2017,20,4.0,No,5.0
129,Frailty,Bill Paxton,2001,0,0.0,No,7.3
130,Freddy vs. Jason,Ronny Yu,2003,24,4.0,No,5.8
131,Friday the 13th,Sean S. Cunningham,1980,10,3.0,No,6.5
132,Friday the 13th,Marcus Nispel,2009,23,4.0,No,5.6
133,Friend Request,Simon Verhoeven,2016,21,4.0,Yes,5.4
134,Fright Night,Craig Gillespie,2011,10,3.0,No,6.4
135,Funny Games,Michael Haneke,1997,1,0.5,No,7.6
136,Funny Games,Michael Haneke,2007,1,0.5,No,6.5
137,Gerald's Game,Mike Flanagan,2017,3,0.5,Yes,7.1
138,Get Out,Jordan Peele,2017,10,2.5,No,7.8
139,Ghost Ship,Steve Beck,2002,12,3.0,Yes,5.5
140,Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,20,4.0,No,6.6
141,Ghostland,Pascal Laugier,2018,21,4.0,No,6.3
142,Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No,6.7
143,Goosebumps,Rob Letterman,2015,10,2.5,No,6.4
