,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
406,The Happening,M. Night Shyamalan,2008,1,0.5,No,5.0
407,The Harvest,John McNaughton,2013,0,0.0,No,5.9
408,The Haunting,Robert Wise,1963,3,1.0,No,7.6
409,The Haunting in Connecticut,Peter Cornwell,2009,26,4.5,No,5.9
410,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,5.0,No,5.3
411,The Hills Have Eyes,Alexandre Aja,2006,9,2.5,No,6.4
412,The Hole,Nick Hamm,2001,3,0.5,No,6.2
413,The House of the Devil,Ti West,2009,4,1.0,No,6.4
414,The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1.0,No,5.3
415,The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No,6.2
416,The Howling,Joe Dante,1981,10,2.5,No,6.6
417,The Human Centipede (First Sequence),Tom Six,2009,4,1.5,No,4.4
418,The Innkeepers,Ti West,2011,9,2.0,No,5.5
419,The Innocents,Jack Clayton,1961,4,0.5,No,7.9
420,The Invitation,Karyn Kusama,2015,5,1.0,Yes,6.6
421,The Jacket,John Maybury,2005,6,1.5,No,7.1
422,The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No,7.6
423,The Last Exorcism,Daniel Stamm,2010,7,2.0,No,5.6
424,The Last House on the Left,Dennis Iliadis,2009,4,0.5,No,6.6
425,The Lazarus Effect,David Gelb,2015,18,4.5,No,5.2
426,The Limehouse Golem,Juan Carlos Medina,2016,0,0.0,No,6.4
427,The Little Stranger,Lenny Abrahamson,2018,0,0.0,No,5.6
428,The Love Witch,Anna Biller,2016,0,0.0,No,6.2
429,The Meg,Jon Turteltaub,2018,18,3.5,No,6.1
430,The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,4.5,No,5.4
431,The Midnight Meat Train,Ryûhei Kitamura,2008,1,0.5,No,6.2
432,The Mist,Frank Darabont,2007,5,1.0,No,7.2
433,The Monster,Bryan Bertino,2016,11,3.0,Yes,5.4
434,The Mothman Prophecies,Mark Pellington,2002,4,1.0,No,6.5
435,The Mummy,Alex Kurtzman,2017,16,3.5,No,5.5
436,The Neighbor,Marcus Dunstan,2016,3,1.0,No,5.8
437,The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No,6.2
438,The New Daughter,Luiso Berdejo,2009,11,2.5,No,5.3
439,The Ninth Gate,Roman Polanski,1999,0,0.0,No,6.7
440,The Number 23,Joel Schumacher,2007,3,0.5,No,6.4
441,The Nun,Corin Hardy,2018,21,4.5,No,6.0
442,The Omen,Richard Donner,1976,1,0.5,No,7.6
443,The Ones Below,David Farr,2015,0,0.0,Yes,6.1
444,The Open House,"Matt Angel, Suzanne Coote",2018,14,3.0,Yes,3.3
445,The Orphanage,J.A. Bayona,2007,6,1.5,No,7.5
446,The Other Side of the Door,Johannes Roberts,2016,16,3.5,No,5.3
447,The Others,Alejandro Amenábar,2001,4,2.0,No,7.6
448,The Pact,Nicholas McCarthy,2012,12,3.0,No,5.8
449,The People Under the Stairs,Wes Craven,1991,13,3.0,No,6.3
450,The Perfection,Richard Shepard,2019,1,0.5,Yes,6.1
451,The Possession,Ole Bornedal,2012,10,3.0,No,5.9
452,The Possession of Michael King,David Jung,2014,20,4.0,No,5.7
453,The Predator,Shane Black,2018,6,1.5,No,5.6
454,The Purge,James DeMonaco,2013,12,3.0,No,5.6
455,The Purge: Anarchy,James DeMonaco,2014,13,3.0,No,6.5
456,The Purge: Election Year,James DeMonaco,2016,9,2.5,No,6.0
457,The Quiet Ones,John Pogue,2014,23,4.0,No,5.1
458,The Return of the Living Dead,Dan O'Bannon,1985,1,0.5,No,7.3
459,The Ring,Gore Verbinski,2002,9,2.5,No,7.1
460,The Ring Two,Hideo Nakata,2005,11,3.0,No,5.4
461,The Rite,Mikael Håfström,2011,7,2.0,Yes,6.0
462,The Ritual,David Bruckner,2017,15,3.0,Yes,6.3
463,The Sacrament,Ti West,2013,2,0.5,No,6.1
464,The Shallows,Jaume Collet-Serra,2016,9,2.5,No,6.3
465,The Shape of Water,Guillermo del Toro,2017,2,0.5,No,8.1
466,The Shining,Stanley Kubrick,1980,3,0.5,Yes,8.4
467,The Silence of the Lambs,Jonathan Demme,1991,0,0.0,No,8.6
468,The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes,8.2
469,The Skeleton Key,Iain Softley,2005,11,3.0,No,6.5
470,The Snowman,Tomas Alfredson,2017,9,2.0,No,5.1
471,The Strangers,Bryan Bertino,2008,16,4.5,No,6.2
472,The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.5
473,The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No,6.0
474,The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1.0,No,7.5
475,The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3.0,No,6.2
476,The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes,5.9
477,The Thing,John Carpenter,1982,7,2.0,No,8.2
478,The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No,6.2
479,The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3.0,No,5.6
480,The Transfiguration,Michael O’Shea,2016,2,1.0,No,5.9
481,The Tunnel,Carlo Ledesma,2011,6,2.5,No,5.9
482,The Unborn,David S. Goyer,2009,14,3.5,Yes,4.8
483,The Uninvited,Charles & Thomas Guard,2009,11,3.0,Yes,6.4
484,The Veil,Phil Joanou,2016,12,3.0,Yes,4.7
485,The Village,M. Night Shyamalan,2004,4,1.0,No,6.5
486,The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2
487,The Voices,Marjane Satrapi,2014,3,0.5,No,6.3
488,The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2.0,Yes,5.8
489,The Wailing,Na Hong-jin,2016,4,1.0,Yes,7.5
490,The Ward,John Carpenter,2010,15,4.0,No,5.6
491,The Wicker Man,Robin Hardy,1973,4,0.5,No,7.6
492,The Witch,Robert Eggers,2015,4,1.5,Yes,6.8
493,The Wolfman,Joe Johnston,2010,18,4.0,No,5.8
494,The Woman in Black,James Watkins,2012,16,4.0,No,6.5
495,The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4.0,No,4.9
496,Them (Ils),"David Moreau, Xavier Palud",2006,16,4.0,No,6.5
497,Thesis (Tesis),Alejandro Amenábar,1996,3,0.5,No,7.5
498,They Look Like People,Perry Blackshear,2015,2,0.5,No,6.1
499,Thirteen Ghosts,Steve Beck,2001,17,3.0,No,5.5
500,Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2
501,Tragedy Girls,Tyler Macintyre,2017,8,2.0,No,6.1
502,Train to Busan,Sang-ho Yeon,2016,4,1.0,Yes,7.5
503,Trash Fire,Richard Bates Jr.,2016,0,0.0,Yes,5.8
504,Tremors,Ron Underwood,1990,16,2.5,No,7.1
505,Triangle,Christopher Smith,2009,5,1.0,No,6.9
506,Trick 'r Treat,Michael Dougherty,2007,6,2.5,No,6.8
507,Truth or Dare,Jeff Wadlow,2018,7,2.0,No,4.8
508,Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No,7.6
509,Tusk,Kevin Smith,2014,0,0.0,Yes,5.4
510,Under the Shadow,Babak Anvari,2016,9,3.5,Yes,7.0
511,Unfriended,Leo Gabriadze,2014,5,3.0,No,5.8
512,Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.5
513,Unsane,Steven Soderbergh,2018,2,0.5,No,6.7
514,Urban Legend,Jamie Blanks,1998,17,4.0,No,5.5
515,Us,Jordan Peele,2019,11,2.5,No,7.4
516,Uzumaki,Higuchinsky,2000,15,3.0,No,6.2
517,Vacancy,Nimród Antal,2007,12,2.5,No,6.2
518,Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,No,6.1
519,Veronica,Paco Plaza,2017,10,3.0,Yes,6.5
520,V/H/S,Various Directors,2012,7,3.5,No,5.8
521,V/H/S/2,Various Directors,2013,14,4.0,No,6.1
522,Victor Frankenstein,Paul McGuigan,2015,6,1.5,No,6.0
523,Viral,"Henry Joost, Ariel Schulman",2016,20,4.0,No,5.5
524,Visions,Kevin Greutert,2015,10,3.5,No,5.4
525,Wait Until Dark,Terence Young,1967,1,0.5,No,7.9
526,We Are Still Here,Ted Geoghegan,2015,12,3.0,No,5.7
527,Wes Craven's New Nightmare,Wes Craven,1994,11,2.5,No,6.4
528,What Lies Beneath,Robert Zemeckis,2000,16,3.0,No,6.6
529,When a Stranger Calls,Fred Walton,1979,5,2.0,No,6.6
530,Wildling,Fritz Böhm,2018,4,1.5,No,6.1
531,Winchester,"Michael Spierig, Peter Spierig",2018,17,4.0,No,5.4
532,Wind Chill,Gregory Jacobs,2007,13,3.0,No,5.9
533,Wish Upon,John R. Leonetti,2017,11,2.0,No,4.8
534,Wolf Creek,Greg McLean,2005,0,0.0,No,6.3
535,World War Z,Marc Forster,2013,7,2.5,No,7.0
536,Would You Rather,David Guy Levy,2012,3,1.0,Yes,5.8
537,Wrong Turn,Rob Schmidt,2003,13,3.0,No,6.1
538,You're Next,Adam Wingard,2011,11,3.0,No,6.5
539,Zodiac,David Fincher,2007,3,0.5,No,7.7
540,Zombieland,Ruben Fleischer,2009,9,3.0,No,7.7
